'BU_CODE';'V01_Strategievariant'
'BU00860209';
'BU00860401';
'BU00860402';
'BU00860501';
'BU00860502';
'BU00860503';
'BU00860504';
'BU00860505';
'BU00860506';
'BU00860507';
'BU00860508';
'BU00860601';
'BU00860602';
'BU00860701';
'BU00860702';
'BU00860801';
'BU00860802';
'BU00860901';
'BU00860902';
'BU00861001';
'BU00861002';
'BU00861101';
'BU00861102';
'BU00861301';
'BU00861302';
'BU00861401';
'BU00861402';
'BU00861501';
'BU00861502';
'BU00861601';
'BU00861602';
'BU00861603';
'BU00861604';
'BU00861605';
'BU00861606';
'BU00861607';
'BU00861701';
'BU00861702';
'BU00861703';
'BU00880000';
'BU00880009';
'BU00900001';
'BU00900002';
'BU00900003';
'BU00900004';
'BU00900005';
'BU00900006';
'BU00900007';
'BU00900008';
'BU00900009';
'BU00900010';
'BU00900011';
'BU00900012';
'BU00900013';
'BU00900014';
'BU00900015';
'BU00900016';
'BU00900017';
'BU00900018';
'BU00900120';
'BU00900121';
'BU00900122';
'BU00900123';
'BU00900124';
'BU00900125';
'BU00900126';
'BU00900127';
'BU00900128';
'BU00900129';
'BU00900130';
'BU00900131';
'BU00900132';
'BU00930000';
'BU00930002';
'BU00930110';
'BU00930111';
'BU00930112';
'BU00930213';
'BU00930214';
'BU00930215';
'BU00930316';
'BU00930317';
'BU00930418';
'BU00930419';
'BU00930420';
'BU00930521';
'BU00930522';
'BU00930523';
'BU00960000';
'BU00960009';
'BU00980001';
'BU00980002';
'BU00980003';
'BU00980004';
'BU00980005';
'BU00980006';
'BU00980007';
'BU00980008';
'BU00980009';
'BU00980010';
'BU00980011';
'BU00980012';
'BU00980013';
'BU00980014';
'BU00980015';
'BU00980016';
'BU00980017';
'BU00980018';
'BU00980019';
'BU00980020';
'BU00980021';
'BU00980101';
'BU00980102';
'BU00980103';
'BU00980104';
'BU00980201';
'BU00980202';
'BU00980301';
'BU00980302';
'BU00980303';
'BU00980304';
'BU00980305';
'BU00980401';
'BU00980402';
'BU00980403';
'BU00980501';
'BU00980502';
'BU00980601';
'BU00980602';
'BU00980701';
'BU00980702';
'BU00980801';
'BU00980802';
'BU00980901';
'BU00980902';
'BU00980903';
'BU00981001';
'BU00981002';
'BU00981003';
'BU00981004';
'BU00981005';
'BU00981006';
'BU00981007';
'BU00981008';
'BU00981009';
'BU00981101';
'BU00981102';
'BU00981201';
'BU00981301';
