utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;EnergieIndex;EnergieLabel;AC_WARM;R_COLL;;;;MVB_EG;RB_FAC_B;MVB_EG_EUR_MIN;MVB_EG_EUR_MAX;MVC_EG;RB_FAC_C;MVC_EG_EUR_MIN;MVC_EG_EUR_MAX;MVF_EG;RB_FAC_F;MVF_EG_EUR_MIN;MVF_EG_EUR_MAX;MV_RV;K_LTAS_MIN;K_LTAS_MAX
Onderwijs;1990<=1995;utiliteit;0.004616057;0.72;1;nvt;0.201582601;0.01008;1;1.0665;1;nvt;0.004133429;1.56;0.151;1;;B;0.19;0;;;;0.11194225;0;95.81385532;163.6989499;0.078359575;0;133.6300171;260.8588863;0.078359575;0;37.81616182;97.15993637;1.07;7.177544069;7.177544069
Onderwijs;1995<=2015;utiliteit;0.004616057;0.72;1;nvt;0.157546041;0.01008;1;1.07;1;nvt;0.004133429;1.56;0.151;1;;B;0.19;0;;;;0.11197111;0;89.65480822;159.8931236;0.078379777;0;127.4806541;257.062744;0.078379777;0;37.82584585;97.1696204;1.07;7.177544069;7.177544069
Onderwijs;onbekend;utiliteit;0.004616057;0.72;1;nvt;0.280997955;0.01008;1;0.984690247;1;nvt;0.004133429;1.56;0.151;1;;D;0.19;0;;;;0.116319658;0;99.91020268;167.5919325;0.08142376;0;137.7360485;264.7615529;0.08142376;0;37.82584585;97.1696204;1.07;7.177544069;7.177544069
Industrie;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.415427096;0.01008;1;0.8348;1;nvt;0.012400286;1.56;0.086;1;;G;0.11;0;;;;0.08867127;0;75.8356884;104.5585401;0.062069889;0;101.0141828;156.532763;0.062069889;0;25.17849442;51.97422291;1.07;7.177544069;7.177544069
Industrie;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.323110284;0.01008;1;0.9406;1;nvt;0.012400286;1.56;0.086;1;;E;0.11;0;;;;0.088861186;0;75.52579924;104.1033904;0.06220283;0;100.6946096;156.0679293;0.06220283;0;25.16881039;51.96453888;1.07;7.177544069;7.177544069
Industrie;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.167643629;0.01008;1;1;1;nvt;0.012400286;1.56;0.086;1;;C;0.11;0;;;;0.089416217;0;70.19957926;100.4815608;0.062591352;0;95.36838965;152.4557837;0.062591352;0;25.16881039;51.97422291;1.07;7.177544069;7.177544069
Industrie;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.15428224;0.01008;1;1.0168;1;nvt;0.012400286;1.56;0.086;1;;B;0.11;0;;;;0.089535938;0;68.69855363;98.16707614;0.062675157;0;93.87704806;150.1412991;0.062675157;0;25.17849442;51.97422291;1.07;7.177544069;7.177544069
Industrie;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.126764549;0.01008;1;1.07;1;nvt;0.012400286;1.56;0.086;1;;B;0.11;0;;;;0.089889987;0;65.88049906;96.06564026;0.062922991;0;91.04930945;148.0398632;0.062922991;0;25.16881039;51.97422291;1.07;7.177544069;7.177544069
Industrie;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.213136845;0.01008;1;1.00335661;1;nvt;0.012400286;1.56;0.086;1;;D;0.11;0;;;;0.092315794;0;70.16084312;99.78431021;0.064621056;0;95.3296535;151.7585331;0.064621056;0;25.16881039;51.97422291;1.07;7.177544069;7.177544069
Bijeenkomst;0<=1920;utiliteit;0.033487398;0.72;1;nvt;0.560795468;0.01008;1;0.83;1;nvt;0.176084063;1.56;0.129;1;;G;0.134;0;;;;0.151367605;0;102.4474202;147.1101957;0.105957324;0;139.8471685;210.2016923;0.105957324;0;37.39974826;63.0914966;1.07;7.177544069;7.177544069
