woningtype_str;bouwjaar_str;;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV_vast;V_RV_var;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;EnergieIndex;EnergieLabel;AC_WARM;R_COLL;;;;;;MVA_EG_vast;MVA_eg_var;RB_FAC_A;MVA_EG_EUR_MIN;MVA_EG_EUR_MAX;MVB_EG_vast;MVB_EG_var;RB_FAC_B;MVB_EG_EUR_MIN;MVB_EG_EUR_MAX;MVC_EG_vast;MVC_EG_var;RB_FAC_C;MVC_EG_EUR_MIN;MVC_EG_EUR_MAX;MVD_EG_vast;MVD_EG_var;RB_FAC_D;MVD_EG_EUR_MIN;MVD_EG_EUR_MAX;MVE_EG_vast;MVE_EG_var;RB_FAC_E;MVE_EG_EUR_MIN;MVE_EG_EUR_MAX;MVF_EG_vast;MVF_EG_var;RB_FAC_F;MVF_EG_EUR_MIN;MVF_EG_EUR_MAX;MV_RV;K_LTAS_MIN;K_LTAS_MAX;VL_OPP_WON_MIN;VL_OPP_WON_MAX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rijwoning hoek;1965 - 1974;;5.972826903;0.72;1;nvt;36.06206901;0.07835703;0.01008;1;0.958085106;1;nvt;0;nvt;9.94;1;2.18;E;7.5;0;;;;;;22.71609744;0.126066351;0.5;3206.648733;3683.448858;16.73347501;0.141864139;0.5;7813.766702;8975.604264;17.80962035;0.130173776;0.213742341;14508.24201;16210.90677;16.73347501;0.141864139;0.5;4914.653443;5645.418667;17.80962035;0.130173776;0.165447972;11609.12875;12880.72117;17.80962035;0.130173776;0;6694.475304;7235.302507;1.07;1232.202372;1232.202372;106;106;;7.3;43.80687129;37.45080075;;3919.171965;4501.917953;29.63860028;;9550;10970;17.74766484;;17732;19813;29.63860028;;6006.698456;6899.841054;17.74766484;;14188.69846;15742.84105;17.74766484;;8182;8843;1.07;1506;1506;106;106
rijwoning hoek;1975 - 1991;;5.972826903;0.72;1;nvt;29.4371085;0.08056872;0.01008;1;0.970434783;1;nvt;0;nvt;9.94;1;1.66;C;7.5;0;;;;;;;;;;;10.98465984;0.17093207;0.5;7167.392283;8157.408797;13.26270092;0.150394945;0.157675971;13971.50578;15511.34965;;;;;;;;;;;13.26270092;0.150394945;0;6804.113496;7353.94085;1.07;1232.202372;1232.202372;106;106;;7.3;36.7544033;;;;;29.63860028;;8760;9970;17.74766484;;17076;18958;;;;;;;;;17.74766484;;8316;8988;1.07;1506;1506;106;106
rijwoning hoek;1992 - 2005;;6.300105089;0.72;1;nvt;26.96486194;0.062875197;0.01008;1;0.997710843;1;nvt;0;nvt;9.86;1;1.37;B;7.5;0;;;;;;;;;;;16.82615736;0.091627172;0.5;818.1954661;1022.744333;9.403724501;0.151026856;0.034993508;8420.867738;9154.789071;;;;;;;;;;;9.403724501;0.151026856;0;7602.672271;8132.044738;1.07;1325.476655;1325.476655;114;114;;7.7;32.87547577;;;;;31.87547577;;1000;1250;19.08711124;;10292;11189;;;;;;;;;19.08711124;;9292;9939;1.07;1620;1620;114;114
rijwoning hoek;2006 - 2014;;6.300105089;0.72;1;nvt;13.49345594;0.080884676;0.01008;1;1.05;1;nvt;0;nvt;9.86;1;0.9;A;7.5;0;;;;;;;;;;;;;;;;9.218258466;0.099526066;0;7602.672271;8132.044738;;;;;;;;;;;9.218258466;0.099526066;0;7602.672271;8132.044738;1.07;1325.476655;1325.476655;114;114;;7.7;35.52896083;;;;;;;;;19.08711124;;9292;9939;;;;;;;;;19.08711124;;9292;9939;1.07;1620;1620;114;114
meergezins: laag en midden;voor 1946;;4.050067557;0.72;1;nvt;22.24947173;0.130173776;0.01008;1;0.898392857;1;nvt;0;nvt;8.41;1;2.2;G;7;0;;;;;;17.80808153;0.153554502;0.5;2635.691034;2888.212331;9.82198358;0.171563981;0.5;4099.159285;4491.893109;8.692757672;0.1671406;0.23019167;8942.05825;9571.250563;9.82198358;0.171563981;0.5;1463.468251;1603.680778;8.692757672;0.1671406;0.140876999;6306.367215;6683.038232;8.692757672;0.1671406;0;4842.898964;5079.357454;1.07;556.372917;556.372917;59;59;;4.95;27.94450982;20.92489606;;3221.346418;3529.97841;17.49890763;;5010;5490;10.4783878;;10929;11698;17.49890763;;1788.653582;1960.02159;10.4783878;;7707.653582;8168.02159;10.4783878;;5919;6208;1.07;680;680;59;59
meergezins: laag en midden;1946 - 1964;;4.336435971;0.72;1;nvt;20.64257511;0.118799368;0.01008;1;0.819491525;1;nvt;0;nvt;8.34;1;2.2;E;7;0;;;;;;14.23941555;0.118483412;0.5;389.8047;420.8688278;12.54020544;0.11342812;0.5;6365.560727;6872.841916;11.68428127;0.094470774;0.171805053;11501.37367;12265.56823;12.54020544;0.11342812;0.5;6365.560727;6872.841916;11.68428127;0.094470774;0.164770637;11501.37367;12265.56823;11.68428127;0.094470774;0;5135.812941;5392.726317;1.07;621.8285543;621.8285543;66;66;;5.3;25.14379378;24.69290787;;476.4200196;514.3866536;19.57504921;;7780;8400;11.72158635;;14057;14991;19.57504921;;7780;8400;11.72158635;;14057;14991;11.72158635;;6277;6591;1.07;760;760;66;66
meergezins: laag en midden;1965 - 1974;;4.540984837;0.72;1;nvt;21.51582543;0.098262243;0.01008;1;0.928095238;1;nvt;0;nvt;8.29;1;2.2;D;7;0;;;;;;;;;;;13.73573064;0.066982622;0.5;6881.02387;7412.850923;9.062744862;0.128593997;0.153448412;12221.38568;13025.67182;;;;;;;;;;;9.062744862;0.128593997;0;5340.361808;5612.820898;1.07;669.2838913;669.2838913;71;71;;5.55;25.8625494;;;;;21.05800749;;8410;9060;12.60958532;;14937;15920;;;;;;;;;12.60958532;;6527;6860;1.07;818;818;71;71
meergezins: laag en midden;1975 - 1991;;4.500075064;0.72;1;nvt;17.28512481;0.106793049;0.01008;1;0.937297297;1;nvt;0;nvt;8.3;1;1.35;C;7;0;;;;;;;;;;;8.892075839;0.135229068;0.5;5792.8239;6226.467497;8.59128595;0.125750395;0.115912468;10950.72812;11639.6487;;;;;;;;;;;8.59128595;0.125750395;0;5157.904219;5413.181204;1.07;659.4655457;659.4655457;70;70;;5.5;23.72183339;;;;;20.76141583;;7080;7610;12.43198553;;13384;14226;;;;;;;;;12.43198553;;6304;6616;1.07;806;806;70;70
meergezins: laag en midden;1992 - 2005;;4.663714157;0.72;1;nvt;12.51187673;0.109004739;0.01008;1;0.981547619;1;nvt;0;nvt;8.26;1;1.31;B;7;0;;;;;;;;;;;7.238574993;0.130805687;0.5;2020.942801;2299.12926;5.589917805;0.150078989;0.084707015;7510.216184;8070.680078;;;;;;;;;;;5.589917805;0.150078989;0;5489.273382;5771.550818;1.07;697.1025372;697.1025372;74;74;;5.7;23.94778245;;;;;21.94778245;;2470;2810;13.1423847;;9179;9864;;;;;;;;;13.1423847;;6709;7054;1.07;852;852;74;74
meergezins: laag en midden;2006 - 2014;;4.663714157;0.72;1;nvt;7.452161091;0.11121643;0.01008;1;1.05;1;nvt;0;nvt;8.26;1;0.9;A;7;0;;;;;;;;;;;;;;;;5.862903587;0.106161137;0;5489.273382;5771.550818;;;;;;;;;;;5.862903587;0.106161137;0;5489.273382;5771.550818;1.07;697.1025372;697.1025372;74;74;;5.7;26.2825325;;;;;;;;;13.1423847;;6709;7054;;;;;;;;;13.1423847;;6709;7054;1.07;852;852;74;74
meergezins: hoog;voor 1946;;4.58189461;0.72;1;nvt;21.51082305;0.130173776;0.01008;1;0.9425;1;nvt;0;nvt;8.28;1;2.09;D;7;0;;;;;;;;;;;9.083334895;0.171563981;0.5;5817.369764;6291.923135;7.954108987;0.1671406;0.209386897;10088.3501;10746.17925;;;;;;;;;;;7.954108987;0.1671406;0;4270.980333;4454.256118;1.07;678.2840414;678.2840414;72;72;;5.6;25.81071332;;;;;17.77795973;;7110;7690;10.64548487;;12330;13134;;;;;;;;;10.64548487;;5220;5444;1.07;829;829;72;72
meergezins: hoog;1946 - 1964;;4.58189461;0.72;1;nvt;20.30166033;0.118799368;0.01008;1;0.9425;1;nvt;0;nvt;8.28;1;2.09;D;7;0;;;;;;;;;;;12.19929066;0.11342812;0.5;5817.369764;6291.923135;11.34336649;0.094470774;0.209386897;10088.3501;10746.17925;;;;;;;;;;;11.34336649;0.094470774;0;4270.980333;4454.256118;1.07;678.2840414;678.2840414;72;72;;5.6;25.81071332;;;;;17.77795973;;7110;7690;10.64548487;;12330;13134;;;;;;;;;10.64548487;;5220;5444;1.07;829;829;72;72
meergezins: hoog;1965 - 1974;;4.990992343;0.72;1;nvt;20.89081501;0.098262243;0.01008;1;0.895238095;1;nvt;0;nvt;8.18;1;2.09;E;7;0;;;;;;13.72525418;0.101421801;0.5;3214.599942;3518.043004;13.11072022;0.066982622;0.5;5547.36526;6071.010359;8.437734437;0.128593997;0.156296787;10073.62258;10792.81639;13.11072022;0.066982622;0.5;4006.577292;4384.779278;8.437734437;0.128593997;0.08505236;8532.83461;9106.585313;8.437734437;0.128593997;0;4526.257319;4721.806035;1.07;773.1947155;773.1947155;82;82;;6.1;25.02810677;22.10224623;;3928.889948;4299.758615;20.2471208;;6780;7420;12.12402443;;12312;13191;20.2471208;;4896.846117;5359.085279;12.12402443;;10428.84612;11130.08528;12.12402443;;5532;5771;1.07;945;945;82;82
meergezins: hoog;1975 - 1991;;4.418255517;0.72;1;nvt;17.39876307;0.106793049;0.01008;1;0.946875;1;nvt;0;nvt;8.32;1;1.84;C;7;0;;;;;;;;;;;9.005714099;0.135229068;0.5;6471.926137;6897.38778;8.70492421;0.125750395;0.215974763;10889.36346;11512.01021;;;;;;;;;;;8.70492421;0.125750395;0;4417.437322;4614.622429;1.07;640.64705;640.64705;68;68;;5.4;25.05473859;;;;;16.7902953;;7910;8430;10.05406904;;13309;14070;;;;;;;;;10.05406904;;5399;5640;1.07;783;783;68;68
meergezins: hoog;1992 - 2005;;4.868263024;0.72;1;nvt;12.22778108;0.109004739;0.01008;1;1.01;1;nvt;0;nvt;8.21;1;1.29;B;7;0;;;;;;;;;;;6.954479344;0.130805687;0.5;630.0105089;711.8300555;5.305822156;0.150078989;0.053614071;5371.453235;5667.639994;;;;;;;;;;;5.305822156;0.150078989;0;4741.442726;4955.809938;1.07;744.5578742;744.5578742;79;79;;5.95;20.50637248;;;;;19.50637248;;770;870;11.68046256;;6565;6927;;;;;;;;;11.68046256;;5795;6057;1.07;910;910;79;79
meergezins: hoog;2006 - 2014;;4.868263024;0.72;1;nvt;7.168065442;0.11121643;0.01008;1;1.05;1;nvt;0;nvt;8.21;1;0.9;A;7;0;;;;;;;;;;;;;;;;5.578807938;0.106161137;0;4741.442726;4955.809938;;;;;;;;;;;5.578807938;0.106161137;0;4741.442726;4955.809938;1.07;744.5578742;744.5578742;79;79;;5.95;25.38622917;;;;;;;;;11.68046256;;5795;6057;;;;;;;;;11.68046256;;5795;6057;1.07;910;910;79;79
